Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Terrace,Cellar,Balcony,New-build,Parking,Ownership,Heating,Designe,Garage,Age,Reconstruction,"You will rent this apartment for approximately CZK 18,038 CZK","You will rent this apartment for approximately CZK 20,978 CZK","You will rent this apartment for approximately CZK 13,021 CZK","You will rent this apartment for approximately CZK 14,785 CZK","You will rent this apartment for approximately CZK 15,067 CZK","You will rent this apartment for approximately CZK 19,842 CZK","You will rent this apartment for approximately CZK 16,685 CZK","You will rent this apartment for approximately CZK 26,628 CZK","You will rent this apartment for approximately CZK 15,484 CZK",Enclosed balcony,"You will rent this apartment for approximately CZK 13,555 CZK","You will rent this apartment for approximately CZK 11,653 CZK","You will rent this apartment for approximately CZK 14,502 CZK","You will rent this apartment for approximately CZK 16,168 CZK","You will rent this apartment for approximately CZK 19,295 CZK",Administrative fee,"You will rent this apartment for approximately CZK 19,219 CZK",Domácí mazlíčci vítáni,"You will rent this apartment for approximately CZK 22,478 CZK","You will rent this apartment for approximately CZK 11,958 CZK","You will rent this apartment for approximately CZK 16,710 CZK","You will rent this apartment for approximately CZK 14,973 CZK","You will rent this apartment for approximately CZK 10,802 CZK","You will rent this apartment for approximately CZK 13,881 CZK","You will rent this apartment for approximately CZK 17,882 CZK","You will rent this apartment for approximately CZK 16,430 CZK","You will rent this apartment for approximately CZK 16,433 CZK","You will rent this apartment for approximately CZK 13,310 CZK","You will rent this apartment for approximately CZK 16,917 CZK","You will rent this apartment for approximately CZK 18,373 CZK","You will rent this apartment for approximately CZK 12,389 CZK","You will rent this apartment for approximately CZK 12,342 CZK","You will rent this apartment for approximately CZK 18,271 CZK","You will rent this apartment for approximately CZK 25,924 CZK","You will rent this apartment for approximately CZK 15,979 CZK","You will rent this apartment for approximately CZK 10,688 CZK","You will rent this apartment for approximately CZK 20,472 CZK","You will rent this apartment for approximately CZK 14,704 CZK","You will rent this apartment for approximately CZK 14,436 CZK","You will rent this apartment for approximately CZK 13,970 CZK","You will rent this apartment for approximately CZK 20,023 CZK","You will rent this apartment for approximately CZK 14,724 CZK","You will rent this apartment for approximately CZK 18,643 CZK","You will rent this apartment for approximately CZK 19,743 CZK","You will rent this apartment for approximately CZK 11,793 CZK","You will rent this apartment for approximately CZK 14,967 CZK","You will rent this apartment for approximately CZK 21,299 CZK","You will rent this apartment for approximately CZK 10,879 CZK","You will rent this apartment for approximately CZK 15,662 CZK","You will rent this apartment for approximately CZK 15,864 CZK","You will rent this apartment for approximately CZK 10,343 CZK","You will rent this apartment for approximately CZK 23,918 CZK","You will rent this apartment for approximately CZK 20,140 CZK","You will rent this apartment for approximately CZK 16,221 CZK","You will rent this apartment for approximately CZK 13,251 CZK","You will rent this apartment for approximately CZK 17,653 CZK","You will rent this apartment for approximately CZK 21,704 CZK","You will rent this apartment for approximately CZK 16,003 CZK","You will rent this apartment for approximately CZK 16,196 CZK","You will rent this apartment for approximately CZK 17,219 CZK","You will rent this apartment for approximately CZK 11,412 CZK","You will rent this apartment for approximately CZK 15,137 CZK",Plot type,"You will rent this apartment for approximately CZK 15,092 CZK","You will rent this apartment for approximately CZK 12,236 CZK","You will rent this apartment for approximately CZK 15,029 CZK","You will rent this apartment for approximately CZK 15,119 CZK","You will rent this apartment for approximately CZK 13,665 CZK","You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 18,500","CZK 2,500",527389,Studio,9/1/2022,52 m²,Partly,5,1.0,195.63,362.93,68.48,331.81,20.63,280.66,278.47,412.31,653.28,297.93,Prague - Žižkov,50.0826385,14.4533897,"CZK 30,000",,,Brick,,1.0,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,829","CZK 2,000",728348,2+kk,8/2/2022,42 m²,Fully furnished,8,1.0,66.96,672.24,233.95,511.93,198.85,128.91,217.4,629.67,272.59,147.55,Prague - Letňany,50.13562,14.50983,"CZK 40,000",C,Good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",683563,2 bedroom,11/1/2021,53 m²,Partly,2,1.0,139.82,553.25,209.82,678.79,82.79,187.02,660.66,499.46,626.16,338.08,"V Olšinách, Prague - Vršovice",50.07135,14.48404,"CZK 22,000",B,Very good,Brick,,1.0,,,1.0,Cooperative,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"CZK 20,000","CZK 6,000",728935,2 bedroom,8/7/2022,67 m²,Partly,1,,170.42,467.7,431.54,2653.22,350.73,1139.61,390.03,1894.48,1108.64,550.47,Prague - Libuš,50.0071,14.45845,"CZK 40,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 3,000",401112,Studio,9/1/2022,30 m²,Fully furnished,,,221.16,694.73,253.36,714.71,433.58,901.33,657.2,349.26,781.23,248.56,"Prorektorská, Prague - Malešice",50.0861115,14.5036988,"CZK 11,500",A,Very good,Brick,,,,1.0,,Personal,Distance,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 2,720",728931,2+kk,9/1/2022,39 m²,Partly,5,1.0,191.23,443.36,111.41,220.02,67.59,218.36,200.88,164.51,445.77,123.12,Prague - Vršovice,50.07012,14.45787,"CZK 15,000",G,Good,Brick,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 6,000",532676,3+1,9/1/2022,60 m²,Partly,1,,188.33,796.67,258.26,459.72,365.28,352.49,138.04,420.78,527.32,108.18,"Nepomucká, Prague - Košíře",50.0690773,14.3651686,"CZK 30,000",,,Prefab concrete,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,000",691264,Studio,5/15/2022,30 m²,Partly,2,1.0,435.47,1340.21,676.51,1321.76,889.71,685.89,1271.32,1316.26,844.72,268.93,"Nepelova, Prague - Hloubětín",50.10614,14.5219,"CZK 15,000",G,New-build,Brick,,,1.0,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,500",545164,Studio,9/1/2022,22 m²,Fully furnished,2,1.0,42.18,972.07,493.97,779.12,473.6,570.35,102.06,1243.4,700.89,348.21,Prague - Holešovice,50.1105294,14.4507429,"CZK 13,500",,New-build,Brick,,,,1.0,,Personal,Central,Luxurious,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,500",728050,2+kk,7/31/2022,46 m²,Fully furnished,4,1.0,337.73,273.54,164.66,362.98,326.52,414.49,127.85,338.4,1297.26,70.65,Prague - Prosek,50.12211,14.50024,"CZK 30,000",G,Very good,Brick,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 2,556",634373,Studio,8/14/2022,32 m²,Fully furnished,3,1.0,146.95,1516.04,82.45,1034.06,184.59,543.01,271.56,795.82,561.32,143.76,"Braunerova, Prague - Libeň",50.113187,14.475355,"CZK 14,000",C,Very good,Brick,,,1.0,1.0,1.0,Personal,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,700","CZK 4,200",728922,Studio,8/15/2022,40 m²,Fully furnished,1,,623.55,1425.68,1048.42,1517.46,1221.19,1377.76,1507.17,1280.03,2051.02,1305.98,Prague - Uhříněves,50.03265,14.583,"CZK 15,900",G,New-build,Brick,1.0,,,1.0,,,,,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 4,000",612685,3+1,9/1/2022,87 m²,Partly,4,1.0,102.67,56.69,188.25,49.53,25.61,239.0,342.44,495.24,450.02,603.24,"Anglická, Prague - Vinohrady",50.076237,14.434579,"CZK 60,000",C,Very good,Brick,,,,,,Personal,Central,Luxurious,,Over 50 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 2,500",728920,Studio,8/7/2022,37 m²,Partly,2,1.0,91.34,289.99,135.8,261.29,109.15,224.49,370.49,555.32,136.36,268.8,Prague - Žižkov,50.08845,14.45856,"CZK 37,000",B,New-build,Brick,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 3,000",724593,3+kk,8/15/2022,78 m²,Unfurnished,1,,275.99,237.57,187.93,147.65,110.52,275.78,212.62,309.08,345.47,403.05,Prague - Smíchov,50.07431,14.40502,"CZK 30,000",,Very good,Brick,,1.0,,,,Personal,,Standard,,Over 50 years,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500",CZK 0,197481,1 bedroom,8/15/2022,48 m²,Partly,4,,219.92,522.99,254.42,318.08,291.14,512.99,288.04,869.5,254.51,133.4,"Podolská, Prague - Podolí",50.0554479,14.4208775,"CZK 33,000",,Good,Brick,,1.0,,,,Personal,Gas boiler,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",728910,3+1,8/7/2022,84 m²,Partly,4,1.0,39.61,415.96,183.61,350.8,350.83,379.81,251.2,284.26,1684.22,356.33,Prague - Troja,50.12772,14.41349,"CZK 20,000",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 3,869",728906,2+kk,9/1/2022,55 m²,Fully furnished,1,1.0,100.67,552.16,76.41,168.19,45.96,95.08,323.13,505.31,539.03,607.16,Prague - Vinohrady,50.0739,14.43092,"CZK 46,000",B,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 2,000",728904,Studio,9/15/2022,37 m²,Partly,1,1.0,197.65,543.84,1444.02,2611.34,612.99,1120.54,520.09,2149.46,2397.16,739.64,Prague - Dolní Počernice,50.09157,14.58187,"CZK 15,000",B,New-build,Brick,1.0,1.0,,1.0,,Personal,,,1.0,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,500","CZK 4,280",728700,3+kk,8/5/2022,68 m²,Partly,4,1.0,227.19,694.52,292.56,947.84,372.07,273.0,572.29,459.35,1024.68,123.64,Prague - Chodov,50.02741,14.5197,"CZK 45,000",G,Very good,Prefab concrete,,1.0,,,,Personal,Central,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000",CZK 0,728125,2 bedroom,8/1/2022,62 m²,Fully furnished,3,,125.04,183.88,167.97,409.44,108.62,78.69,404.34,686.89,845.04,243.87,Prague - Smíchov,50.06945,14.40026,"CZK 55,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,000",724861,3+kk,9/1/2022,95 m²,Fully furnished,1,,297.57,1299.44,192.92,1089.73,370.38,240.73,178.6,170.88,876.0,232.02,Prague - Strašnice,50.06831,14.50072,"CZK 40,000",G,Very good,Brick,,,,,,Personal,Electric boiler,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",505757,2+kk,8/1/2022,55 m²,Partly,2,,62.71,1752.79,217.92,2388.85,105.34,1636.27,181.2,822.72,1145.48,640.88,Prague - Hlubočepy,50.0454793,14.4066166,"CZK 21,000",A,,Brick,1.0,1.0,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 6,000",728232,2+kk,8/31/2022,83 m²,Partly,3,1.0,119.42,122.54,82.16,414.46,151.65,165.78,249.01,446.89,605.24,211.56,Prague - Smíchov,50.06805,14.39953,"CZK 46,000",G,Very good,Brick,,1.0,,,1.0,,,Luxurious,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",728223,2 bedroom,9/1/2022,68 m²,Unfurnished,3,1.0,126.97,254.99,159.91,492.97,197.16,157.54,142.68,291.41,592.81,57.47,Prague - Holešovice,50.10237,14.44445,"CZK 23,000",F,Good,Brick,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 8,000",483897,3+kk,8/15/2022,92 m²,Fully furnished,2,,137.91,1008.34,405.32,637.44,539.18,1087.18,1284.46,996.81,1069.33,273.85,"Uzoučká, Prague - Suchdol",50.13279,14.36972,"CZK 42,000",,Very good,Brick,,1.0,,,1.0,Personal,Gas boiler,Standard,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,300",575497,2+kk,9/1/2022,50 m²,Fully furnished,2,1.0,134.81,1230.46,485.17,488.62,0,491.85,797.74,375.33,365.39,548.59,"5. května, Prague - Nusle",50.0562485,14.4371791,"CZK 34,000",E,Very good,Brick,,1.0,,,,Personal,Central,Standard,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",393654,Small studio,8/15/2022,26 m²,Fully furnished,1,,240.76,1142.0,1045.26,1053.63,697.13,1064.35,924.02,421.08,1614.86,248.41,"Otvovická, Prague - Suchdol",50.1426796,14.3870953,"CZK 26,000",B,New-build,Brick,1.0,,,1.0,1.0,Personal,Geothermal,Luxurious,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,500",727256,2 bedroom,9/1/2022,69 m²,Partly,2,,184.87,1348.04,119.61,1123.42,379.57,422.11,794.25,164.68,1259.29,542.21,Prague - Smíchov,50.07473,14.39021,"CZK 40,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,800",424503,2+kk,9/1/2022,58 m²,Partly,3,1.0,177.05,701.22,49.81,477.87,27.64,476.21,290.82,287.65,526.7,223.0,Prague - Vršovice,50.0719083,14.4601797,"CZK 30,000",,Very good,Brick,,,1.0,,,Cooperative,Central,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500",575124,2+kk,10/1/2022,45 m²,Partly,9,1.0,215.93,295.36,218.93,2616.52,271.82,262.51,304.72,1672.13,1318.21,146.24,"Ciolkovského, Prague - Ruzyně",50.0896132,14.3064783,"CZK 13,500",D,Very good,Prefab concrete,,1.0,,,,Personal,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 2,000",728879,1 bedroom,8/6/2022,46 m²,Partly,1,,141.46,1286.42,232.19,1088.15,143.15,531.21,392.3,1625.77,420.21,696.82,Prague - Holešovice,50.1087,14.43751,"CZK 17,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 4,500",711701,2+kk,9/15/2022,70 m²,Fully furnished,2,1.0,52.73,484.57,102.81,829.06,42.67,230.7,620.9,592.51,708.03,528.97,"Radlická, Prague - Smíchov",50.06336,14.40441,"CZK 54,000",C,Very good,Prefab concrete,,,,,1.0,Personal,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,400","CZK 2,500",545224,Studio,9/1/2022,38 m²,Partly,4,1.0,109.24,1039.06,442.08,846.12,540.6,637.35,35.01,1310.4,767.89,296.17,Prague - Holešovice,50.11065,14.449746,"CZK 20,000",B,New-build,Brick,,,,1.0,,Personal,Central,Luxurious,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 1,250",728872,2 bedroom,10/1/2022,70 m²,Partly,3,,191.02,1134.02,193.0,571.22,318.41,213.69,362.28,887.88,233.66,181.75,Prague - Libeň,50.11029,14.473,"CZK 9,000",G,Very good,Brick,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 2,500",728870,2+kk,8/15/2022,33 m²,Fully furnished,4,1.0,111.23,987.17,669.08,855.29,220.83,1089.38,922.11,840.0,833.18,545.63,Prague - Střešovice,50.09426,14.38827,"CZK 23,000",C,Very good,Brick,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000",CZK 580,623115,2 bedroom,10/1/2022,55 m²,,3,,120.4,778.1,120.38,48.38,67.8,267.02,598.26,627.49,572.95,170.07,"Koněvova, Prague - Žižkov",50.089674,14.465655,"CZK 19,580",E,Very good,Brick,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 4,500",728159,3+kk,8/1/2022,70 m²,Partly,5,,219.55,212.06,332.73,367.96,260.06,216.4,444.55,445.71,492.32,104.03,Prague - Žižkov,50.09111,14.49059,"CZK 31,000",G,Very good,Brick,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 3,060",728860,2 bedroom,8/6/2022,56 m²,Partly,3,1.0,178.75,430.88,98.92,207.53,161.89,205.87,188.4,62.84,511.49,140.78,Prague - Vršovice,50.07025,14.45645,"CZK 37,500",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,500",705562,2+kk,10/10/2022,45 m²,Fully furnished,5,1.0,125.19,415.53,168.81,321.31,133.39,291.21,468.63,656.91,299.75,230.15,"Koněvova, Prague - Žižkov",50.08868,14.46064,"CZK 30,000",,Very good,Brick,,,,,,Personal,Electric boiler,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,200","CZK 4,800",641075,2 bedroom,8/8/2022,42 m²,Fully furnished,5,1.0,230.71,261.67,340.99,371.23,133.86,409.58,439.54,562.77,307.63,103.71,"Na Strži, Prague - Krč",50.048129,14.439351,"CZK 19,000",C,Very good,Prefab concrete,,1.0,,,,Personal,Central,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,900","CZK 3,783",728853,2+kk,10/1/2022,65 m²,Fully furnished,9,1.0,187.61,796.91,219.72,789.56,413.49,693.0,349.3,774.1,429.2,512.14,Prague - Kamýk,50.01897,14.43788,"CZK 40,000",G,New-build,Brick,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,900","CZK 3,100",617632,2+kk,6/25/2022,44 m²,Partly,2,1.0,339.5,258.78,154.1,328.9,36.49,237.37,731.05,965.96,1127.37,353.92,"Olštýnská, Prague - Troja",50.127794,14.42029,"CZK 30,000",B,Very good,Prefab concrete,,,1.0,,,Personal,Distance,Standard,,Up to 10 years,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,235","CZK 5,289",728132,4+kk,9/1/2022,99 m²,Partly,1,,202.61,529.78,235.18,323.22,88.92,261.38,106.14,367.73,96.61,432.73,Prague - Vinohrady,50.07836,14.44153,"CZK 60,000",B,Good,Brick,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",713312,2+kk,9/1/2022,65 m²,Partly,2,,320.54,804.25,643.24,6158.2,842.45,668.33,418.35,358.48,633.23,430.5,"Moravanská, Prague - Vinoř",50.1484241,14.58219925,"CZK 21,000",B,Very good,Brick,,,,,1.0,Personal,Electric boiler,Luxurious,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,500","CZK 4,500",308727,Studio,8/15/2022,26 m²,Partly,1,,321.61,1313.49,216.96,1113.77,394.42,254.78,164.22,156.5,890.05,246.07,"Na výhledech, Prague - Strašnice",50.0684525,14.5009037,"CZK 16,000",,Very good,Brick,,,,,,Personal,Electric boiler,Standard,,Over 50 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 5,000",573912,2+kk,9/1/2022,60 m²,Fully furnished,,,335.77,1228.06,224.6,959.03,263.3,1106.47,165.98,416.9,771.61,539.0,"Nad Ondřejovem, Prague - Podolí",50.0456918,14.42738,"CZK 6,000",,,Brick,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,507",650519,2+kk,8/7/2022,52 m²,Fully furnished,6,1.0,136.7,1077.13,126.49,1050.98,248.92,238.37,624.06,381.19,1394.91,157.34,"Holečkova, Prague - Smíchov",50.072369,14.387819,"CZK 25,000",B,New-build,Brick,,,,,1.0,Personal,,Luxurious,1.0,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",549773,2+kk,9/1/2022,56 m²,Fully furnished,2,1.0,176.69,403.88,153.94,1565.43,431.87,1526.66,1975.05,314.94,747.91,539.36,Prague - Troja,50.116926967792,14.418454054492,"CZK 40,000",A,Very good,Brick,,1.0,1.0,,1.0,Personal,Central,Standard,1.0,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,900",633986,2+kk,8/1/2022,43 m²,Fully furnished,3,1.0,248.73,517.92,177.98,409.83,52.97,388.62,89.35,255.17,74.96,226.55,"Šrobárova, Prague - Vinohrady",50.076081,14.468274,"CZK 30,000",G,Very good,Brick,,,,,,Cooperative,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,900","CZK 5,000",614644,2 bedroom,9/12/2022,72 m²,Partly,2,,253.67,124.62,380.19,1791.68,236.21,1752.91,2175.33,307.58,828.46,476.79,"Sádky, Prague - Troja",50.116483,14.420261,"CZK 30,000",,Very good,Brick,,,1.0,,1.0,Personal,Gas boiler,Luxurious,1.0,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,000",193582,2 bedroom,7/31/2022,57 m²,Partly,7,1.0,71.1,445.44,253.63,398.38,322.26,468.05,273.05,406.17,864.91,145.43,"Počernická, Prague - Malešice",50.0808128,14.4959816,"CZK 38,000",C,Very good,Prefab concrete,,,,,,Personal,Distance,Standard,,30 - 50 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 2,500",728803,2+kk,10/1/2022,48 m²,Fully furnished,5,1.0,160.89,142.85,141.1,376.12,54.48,63.95,91.19,239.91,480.67,100.29,Prague - Holešovice,50.10146,14.44676,"CZK 20,000",G,Very good,Brick,,,,,,Personal,,,,Up to 10 years,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
"CZK 22,500","CZK 5,500",728787,3+1,8/5/2022,72 m²,Partly,3,,404.53,2369.09,2104.76,2215.83,589.64,2245.65,1415.45,2046.91,2089.33,1160.52,Prague - Dejvice,50.11274,14.35484,"CZK 36,000",G,Very good,Brick,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
